region,building_cluster,building_type,num_households_premises,num_shops_premises,type_waste_generator,waste_segregation,wet_waste_before_segregation,dry_waste_before_segregation,hazardous_waste,composting_type,compost_bin_by_mcgm,date_notice_issued,name_number,coll_date,category,num_wings,wing_name,population,compostable_waste,recyclable_waste,rejected_waste
Behram  Baug,Shakti seva sangh,Res.,91,14,BWG/SRA,no,0,0,0,-,-,,,04/10/2021,,,,,,,
Behram  Baug,Ujala Nagar SRA,Res.,116,21,After 2007 (BWG/SRA),no,0,0,0,-,-,,,04/10/2021,,,,,,,
Behram  Baug,Patel SRA,Res.,,,Others,,--,-,-,,,,,04/10/2021,,,,,,,
Behram  Baug,Sakirabi,Res.,114,16,After 2007 (BWG/SRA),no,0,0,0,-,-,,,04/10/2021,,,,,,,
Behram  Baug,Parsi Colony,Res.,13x28,,Others,yes,0,108,0,,,,,04/10/2021,,,,,,,
Behram  Baug,Shama chs,Res.,,,Others,yes,-,-,-,,,,,04/10/2021,,,,,,,
Behram  Baug,Sarvodhaya SRA,Res.,120,,BWG,,0,0,0,,,44265,,04/10/2021,,,,,,,
Behram  Baug,Range Heights,Com,,,After 2007 (BWG),yes,-,-,-,-,,,,04/10/2021,,,,,,,
Behram  Baug,Santosh Nagar SRA,Res.,75,,BWG,,-,-,-,,,28/09/2021,"Amersen Yadav
9867974333",04/10/2021,,,,,,,
Behram  Baug,Green palace,Res.,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Milliennium Court,Res.,80,1,BWG,yes,0,0,1.5,,,27/09/2021,"Nitinn Ranga
9821337126",04/10/2021,,,,,,,
ROSHAN NAGAR,Evershine Green,Res.,206,14,BWG,yes,10,55,10,OWC,,18/09/2021,"Rohit Sharma (chr)
9819309474",04/10/2021,,,,,,,
ROSHAN NAGAR,"Raigad military school
Com-Bldg",Com,32,,BWG,,-,-,-,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Raigad military school,Scl,32,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Mariyam public high school,Scl,,16,Others,,-,-,-,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Belvedere spring school,Scl,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Level resident,Res.,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Akash ganga,Res.,28,,Others,yes,20,0,0,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Oshwara Vishal,Res.,28,,Others,yes,30,0,0,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Sahyadri,Res.,56,,Others,yes,50,0,0,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Girnar,Res.,56,,Others,yes,3,5,0,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Johig,Res.,28,,Others,yes,10,5,0,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Ravikiran,Res.,28,,Others,yes,40,7,0,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Oshiwara Satpuda,Res.,56,,Others,yes,47,6,0,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Green daimond,Res.,40,,After 2007 (BWG),yes,25,0,0,,,27/09/2021,"Sameer Shaik(sup)
9920048273",04/10/2021,,,,,,,
ROSHAN NAGAR,Jogeshwari Ganesh niwas,Res.,80,,BWG/SRA,yes,70,0,0,,,27/09/2021,"Bhagwan Jadhav
9821800369",04/10/2021,,,,,,,
ROSHAN NAGAR,Roshan nagar B1,Res.,52,12,After 2007 (BWG/SRA),,-,-,-,,,27/09/2021,"Ashok Dongre
9833455170",04/10/2021,,,,,,,
ROSHAN NAGAR,Roshan nagar B2,Res.,82,13,After 2007 (BWG/SRA),,-,-,-,,,27/09/2021,"Alim Khan
8879313127",04/10/2021,,,,,,,
ROSHAN NAGAR,Lashkaria Empress,Res.,56,6,After 2007 (BWG/SRA),,-,-,-,,,21/09/2021,"Sameer Shaik
9920048273",04/10/2021,,,,,,,
ROSHAN NAGAR,Oriental Education ,Clg,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Green Heights (Lashkaria),Res.,79,,BWG,,-,-,-,,,21/09/2021,"Aslam Lashkaria
9820990707",04/10/2021,,,,,,,
ROSHAN NAGAR,Sree Sai lila (SRA),Res.,56,,Others,no,0,0,0,,,,,04/10/2021,,,,,,,
ROSHAN NAGAR,Shivspruthi Bldg no.1 ,Res.,88,,BWG,yes,65,0,-,,,27/09/2021,"Vasant  Mahadik
7208580681",04/10/2021,,,,,,,
ROSHAN NAGAR,Shivspruthi Bldg no.2 ,Res.,,,BWG /SRA,yes,75,0,-,-,,27/09/2021,"Vasant  Mahadik
7208580681",04/10/2021,,,,,,,
ANAND NAGAR,Techweb centre,Com,,,Others,,-,-,-,,,,,04/10/2021,,,,,,,
ANAND NAGAR,Daimond /Pearl,Res.,18,2,Others,no,0,0,0,,,,,04/10/2021,,,,,,,
